	Clone size	RGC	dAC	AC	BC	MC	HC	PRs	Unknown	Position
24h clone-1	3	0	0	1	0	0	0	2	0	Nasal
24h clone-2	5	1	1	0	0	0	0	3	0	Nasal
24h clone-3	6	0	0	1	2	0	0	2	1	Nasal
24h clone-4	6	1	0	1	1	0	0	3	0	Temporal
24h clone-5	8	0	0	1	7	0	0	0	0	Nasal
24h clone-6	8	0	0	2	6	0	0	0	0	Nasal
24h clone-7	8	0	0	2	4	0	0	2	0	Temporal
24h clone-8	8	2	0	1	5	0	0	0	0	Temporal
24h clone-9	8	2	0	2	2	0	0	2	0	Temporal
24h clone-10	8	0	1	1	0	0	0	6	0	Temporal
24h clone-11	8	0	1	1	0	0	2	4	0	Temporal
24h clone-12	9	2	2	1	1	1	0	2	0	Nasal
24h clone-13	9	2	1	0	0	0	2	4	0	Temporal
24h clone-14	9	1	0	2	3	0	0	3	0	Temporal
24h clone-15	9	0	0	2	0	0	1	6	0	Temporal
24h clone-16	10	0	0	2	4	0	2	2	0	Nasal
24h clone-17	10	1	1	1	4	0	1	2	0	Nasal
24h clone-18	10	2	0	2	5	0	0	0	1	Temporal
24h clone-19	10	1	0	3	4	0	0	2	0	Temporal
24h clone-20	10	0	1	3	6	0	0	0	0	Temporal
24h clone-21	10	0	0	2	6	0	0	2	0	Temporal
24h clone-22	10	2	0	0	0	0	2	6	0	Temporal
24h clone-23	10	2	0	2	0	0	2	4	0	Temporal
24h clone-24	11	2	0	2	4	0	0	3	0	Nasal
24h clone-25	11	1	0	2	2	0	2	4	0	Nasal
24h clone-26	11	1	0	2	4	0	0	4	0	Temporal
24h clone-27	11	0	0	1	4	0	1	4	1	Temporal
24h clone-28	11	1	1	1	0	0	2	5	0	Temporal
24h clone-29	11	0	1	2	4	0	0	4	0	Temporal
24h clone-30	12	2	0	3	7	0	0	0	0	Temporal
24h clone-31	12	1	0	2	5	0	0	4	0	Temporal
24h clone-32	12	1	0	1	6	0	0	4	0	Temporal
24h clone-33	12	0	1	3	6	0	0	2	0	Temporal
24h clone-34	12	2	1	0	8	0	1	0	0	Temporal
24h clone-35	13	3	1	1	3	1	0	4	0	Nasal
24h clone-36	13	1	1	2	6	1	0	2	0	Nasal
24h clone-37	13	2	0	4	5	0	0	2	0	Nasal
24h clone-38	13	1	1	0	7	0	0	4	0	Temporal
24h clone-39	13	2	0	1	4	0	0	4	0	Temporal
24h clone-40	13	1	0	2	4	0	2	4	0	Temporal
24h clone-41	14	0	0	6	6	0	0	2	0	Nasal
24h clone-42	14	1	0	2	5	0	1	4	1	Nasal
24h clone-43	14	2	0	2	5	0	0	5	0	Nasal
24h clone-44	14	2	0	2	0	0	2	8	0	Temporal
24h clone-45	14	1	1	1	4	1	0	6	0	Temporal
24h clone-46	15	1	0	3	7	0	0	4	0	Nasal
24h clone-47	15	2	0	1	4	0	2	6	0	Nasal
24h clone-48	15	0	0	2	7	0	2	4	0	Temporal
24h clone-49	15	0	0	2	8	0	1	4	0	Temporal
24h clone-50	15	2	0	1	0	0	4	8	0	Temporal
24h clone-51	16	2	0	2	3	0	1	6	0	Nasal
24h clone-52	16	2	2	2	1	0	1	8	0	Nasal
24h clone-53	16	1	1	4	6	0	0	4	0	Temporal
24h clone-54	16	1	1	4	5	0	1	4	0	Temporal
24h clone-55	16	2	0	0	6	0	2	6	0	Temporal
24h clone-56	16	3	0	2	2	1	4	4	0	Temporal
24h clone-57	17	0	1	4	0	0	4	8	0	Temporal
24h clone-58	18	2	1	3	6	0	2	4	0	Nasal
24h clone-59	19	2	0	1	7	0	2	7	0	Nasal
24h clone-60	19	1	2	4	2	0	2	8	0	Temporal
24h clone-61	20	4	0	2	4	0	2	8	0	Nasal
24h clone-62	20	3	1	2	8	0	0	6	0	Temporal
24h clone-63	20	2	2	2	0	0	2	10	0	Temporal
24h clone-64	22	1	1	3	10	0	1	6	0	Nasal
										
32h clone-1	1	1	0	0	0	0	0	0	0	Nasal
32h clone-2	1	0	0	0	0	0	1	0	0	Nasal
32h clone-3	1	0	1	0	0	0	0	0	0	Temporal
32h clone-4	1	1	0	0	0	0	0	0	0	Temporal
32h clone-5	1	0	0	2	1	0	1	0	0	Temporal
32h clone-6	1	1	0	0	0	0	0	0	0	Temporal
32h clone-7	1	1	0	0	0	0	0	0	0	Temporal
32h clone-8	2	1	0	1	0	0	0	0	0	Nasal
32h clone-9	2	0	0	0	0	0	0	2	0	Nasal
32h clone-10	2	0	0	0	0	0	0	2	0	Nasal
32h clone-11	2	0	0	2	0	0	0	0	0	Nasal
32h clone-12	2	0	0	0	1	0	0	0	1	Nasal
32h clone-13	2	0	0	0	0	0	0	2	0	Nasal
32h clone-14	2	0	0	1	1	0	0	0	0	Nasal
32h clone-15	2	0	0	0	0	0	0	2	0	Nasal
32h clone-16	2	2	0	0	0	0	0	0	0	Nasal
32h clone-17	2	0	0	0	0	0	2	0	0	Nasal
32h clone-18	2	0	0	0	0	0	0	2	0	Nasal
32h clone-19	2	0	0	0	2	0	0	0	0	Nasal
32h clone-20	2	0	0	2	0	0	0	0	0	Temporal
32h clone-21	2	0	0	0	0	0	1	1	0	Temporal
32h clone-22	2	0	1	1	0	0	0	0	0	Temporal
32h clone-23	2	0	0	0	0	0	2	0	0	Temporal
32h clone-24	2	0	1	1	0	0	0	0	0	Temporal
32h clone-25	2	1	1	0	0	0	0	0	0	Temporal
32h clone-26	2	1	1	0	0	0	0	0	0	Temporal
32h clone-27	2	1	0	1	0	0	0	0	0	Temporal
32h clone-28	3	0	1	0	0	0	0	2	0	Nasal
32h clone-29	3	1	0	0	0	0	0	2	0	Nasal
32h clone-30	3	1	0	0	0	0	0	2	0	Nasal
32h clone-31	3	0	0	1	0	0	0	2	0	Nasal
32h clone-32	3	1	0	0	0	0	0	2	0	Nasal
32h clone-33	3	0	0	1	2	0	0	0	0	Nasal
32h clone-34	3	1	0	0	0	0	2	0	0	Nasal
32h clone-35	3	1	0	0	0	0	0	2	0	Temporal
32h clone-36	3	0	0	0	3	0	0	0	0	Temporal
32h clone-37	3	1	1	1	0	0	0	0	0	Temporal
32h clone-38	3	1	0	0	0	0	0	2	0	Temporal
32h clone-39	3	0	1	0	0	0	0	2	0	Temporal
32h clone-40	3	1	0	0	0	0	0	2	0	Temporal
32h clone-41	3	0	2	0	0	0	1	0	0	Temporal
32h clone-42	3	0	0	0	0	0	1	2	0	Temporal
32h clone-43	3	0	0	0	0	0	2	1	0	Temporal
32h clone-44	3	1	0	0	0	0	0	2	0	Temporal
32h clone-45	3	1	0	0	0	0	0	2	0	Temporal
32h clone-46	3	0	1	0	0	0	2	0	0	Temporal
32h clone-47	3	1	0	0	0	0	0	2	0	Temporal
32h clone-48	3	1	0	0	0	0	0	2	0	Temporal
32h clone-49	3	0	0	0	0	0	3	0	0	Temporal
32h clone-50	3	1	0	0	0	0	0	2	0	Temporal
32h clone-51	3	1	0	0	0	0	0	2	0	Temporal
