Lineage	Event	Child of	Type	y pixel coord (40hr = 234, 14.3 pix/hr)	time	O1	O2	Event observed?
1	1	0	2	262	41.958041958	PR	PR	1
2	1	0	2	221	39.0909090909	PR	PR	1
3	1	0	2	334	46.993006993	PR	PR	1
4	1	0	1	177	36.013986014	RPC	RGC	1
4	2	1	2	334	46.993006993	Am	BP	1
5	1	0	1	205	37.972027972	RPC	Am	1
5	2	1	2	376	49.9300699301	PR	PR	1
6	1	0	1	177	36.013986014	RPC	Am	1
6	2	1	2	277	43.006993007	PR	PR	1
7	1	0	1	162	34.965034965	RPC	Am	1
7	2	1	2	348	47.972027972	PR	PR	1
8	1	0	1	148	33.986013986	RPC	RGC	1
8	2	1	2	362	48.951048951	PR	PR	1
9	1	0	1	119	31.958041958	RPC	RGC	0
9	2	1	2	304	44.8951048951	PR	PR	1
10	1	0	1	234	40	RPC	RGC	1
10	2	1	2	491	57.972027972	PR	PR	1
11	1	0	1	205	37.972027972	RPC	Am	1
11	2	1	2	350	48.1118881119	Am	PR	1
12	1	0	1	177	36.013986014	RPC	RGC	1
12	2	1	2	305	44.965034965	Am	BP	1
13	1	0	1	349	48.041958042	RPC	Am	1
13	2	1	2	448	54.965034965	Am	BP	1
14	1	0	1	212	38.4615384615	RPC	RGC	1
14	2	1	2	390	50.9090909091	PR	PR	1
15	1	0	1	291	43.986013986	RPC	Am	1
15	2	1	2	526	60.4195804196	Am	BP	1
16	1	0	1	206	38.041958042	RPC	RGC	1
16	2	1	2	420	53.006993007	PR	PR	1
17	1	0	1	205	37.972027972	RPC	RGC	1
17	2	1	2	505	58.951048951	PR	PR	1
18	1	0	1	177	36.013986014	RPC	RGC	1
18	2	1	2	349	48.041958042	PR	PR	1
19	1	0	1	119	31.958041958	RPC	RGC	0
19	2	1	2	255	41.4685314685	Am	PR	1
20	1	0	1	199	37.5524475524	RPC	Am	1
20	2	1	2	455	55.4545454545	PR	PR	1
21	1	0	1	184	36.5034965035	RPC	RGC	1
21	2	1	2	292	44.0559440559	Am	PR	1
22	1	0	1	220	39.020979021	RPC	Am	1
22	2	1	2	442	54.5454545455	PR	PR	1
23	1	0	0	220	39.020979021	RPC	RPC	1
23	2	1	2	319	45.9440559441	Am	Am	1
23	3	1	2	328	46.5734265734	PR	PR	1
24	1	0	0	190	36.9230769231	RPC	RPC	1
24	2	1	2	376	49.9300699301	Am	BP	1
24	3	1	2	391	50.979020979	PR	PR	1
25	1	0	0	133	32.9370629371	RPC	RPC	1
25	2	1	2	262	41.958041958	Unk	Unk	1
25	3	1	2	277	43.006993007	Unk	Unk	1
26	1	0	1	177	36.013986014	RPC	Unk	1
26	2	1	0	241	40.4895104895	RPC	RPC	1
26	3	2	2	384	50.4895104895	PR	PR	1
26	4	2	2	384	50.4895104895	PR	PR	1
27	1	0	0	119	31.958041958	RPC	RPC	1
27	2	1	0	205	37.972027972	RPC	RPC	1
27	3	1	1	220	39.020979021	RPC	RGC	1
27	4	2	2	334	46.993006993	Am	BP	1
27	5	2	2	334	46.993006993	PR	PR	1
27	6	3	2	334	46.993006993	PR	PR	1
28	1	0	0	133	32.9370629371	RPC	RPC	1
28	2	1	0	227	39.5104895105	RPC	RPC	1
28	3	1	0	227	39.5104895105	RPC	RPC	1
28	4	2	1	370	49.5104895105	RPC	RGC	1
28	5	2	2	370	49.5104895105	RGC	Am	1
28	6	3	2	384	50.4895104895	Am	BP	1
28	7	3	2	384	50.4895104895	PR	PR	1
28	8	4	2	570	63.4965034965	PR	PR	1
29	1	0	1	177	36.013986014	RPC	RGC	1
29	2	1	2	377	50	PR	PR	1
30	1	0	1	248	40.979020979	RPC	RGC	1
30	2	1	2	391	50.979020979	PR	PR	1
31	1	0	1	234	40	RPC	RGC	1
